shapeName,provincia,distrito_inec,ingreso
Changuinola,BOCAS DEL TORO,CHANGUINOLA,445.0
Bocas del Toro,BOCAS DEL TORO,BOCAS DEL TORO,420.0
Chiriquí Grande,BOCAS DEL TORO,CHIRIQUÍ GRANDE,350.0
Renacimiento,CHIRIQUÍ,RENACIMIENTO,250.0
San Félix,CHIRIQUÍ,SAN FÉLIX,487.0
Barú,CHIRIQUÍ,BARÚ,400.0
Alanje,CHIRIQUÍ,ALANJE,400.0
Boquerón,CHIRIQUÍ,BOQUERÓN,600.0
Boquete,CHIRIQUÍ,BOQUETE,480.0
Bugaba,CHIRIQUÍ,BUGABA,500.0
Gualaca,CHIRIQUÍ,GUALACA,384.0
Tolé,CHIRIQUÍ,TOLÉ,246.0
San Lorenzo,CHIRIQUÍ,SAN LORENZO,300.0
Remedios,CHIRIQUÍ,REMEDIOS,400.0
Dolega,CHIRIQUÍ,DOLEGA,688.0
Aguadulce,COCLÉ,AGUADULCE,646.0
Antón,COCLÉ,ANTÓN,350.0
La Pintada,COCLÉ,LA PINTADA,200.0
Natá,COCLÉ,NATÁ,500.0
Olá,COCLÉ,OLÁ,250.0
Penonomé,COCLÉ,PENONOMÉ,300.0
Mironó,COMARCA NGÄBE BUGLÉ,MIRONÓ,100.0
Kankintú,COMARCA NGÄBE BUGLÉ,KANKINTÚ,40.0
Kusapín,COMARCA NGÄBE BUGLÉ,KUSAPÍN,45.0
Ñürüm,COMARCA NGÄBE BUGLÉ,ÑÜRÜM,50.0
Müna,COMARCA NGÄBE BUGLÉ,MÜNA,100.0
Nole Duima,COMARCA NGÄBE BUGLÉ,NOLE DUIMA,100.0
Besiko,COMARCA NGÄBE BUGLÉ,BESIKO,80.0
Santa Fé,DARIÉN,SANTA FE,147.5
San Francisco,VERAGUAS,SAN FRANCISCO,200.0
La Mesa,VERAGUAS,LA MESA,240.0
Santiago,VERAGUAS,SANTIAGO,650.0
Atalaya,VERAGUAS,ATALAYA,650.0
Calobre,VERAGUAS,CALOBRE,170.0
Soná,VERAGUAS,SONÁ,250.0
Río de Jesús,VERAGUAS,RÍO DE JESÚS,300.0
Las Palmas,VERAGUAS,LAS PALMAS,140.0
Cañazas,VERAGUAS,CAÑAZAS,100.0
Chitré,HERRERA,CHITRÉ,650.0
Parita,HERRERA,PARITA,520.0
Pesé,HERRERA,PESÉ,433.0
Los Pozos,HERRERA,LOS POZOS,300.0
Ocú,HERRERA,OCÚ,375.0
Las Minas,HERRERA,LAS MINAS,150.0
Santa María,HERRERA,SANTA MARÍA,550.0
Pedasí,LOS SANTOS,PEDASÍ,500.0
Pocrí,LOS SANTOS,POCRÍ,300.0
Tonosí,LOS SANTOS,TONOSÍ,390.0
Las Tablas,LOS SANTOS,LAS TABLAS,628.0
Guararé,LOS SANTOS,GUARARÉ,550.0
Macaracas,LOS SANTOS,MACARACAS,360.0
Los Santos,LOS SANTOS,LOS SANTOS,600.0
Sambú,COMARCA EMBERÁ,SAMBÚ,70.0
Cémaco,COMARCA EMBERÁ,CÉMACO,80.0
Chepigana,DARIÉN,CHEPIGANA,200.0
Pinogana,DARIÉN,PINOGANA,280.0
Donoso,COLÓN,DONOSO,100.0
Santa Isabel,COLÓN,SANTA ISABEL,300.0
Portobelo,COLÓN,PORTOBELO,500.0
Chagres,COLÓN,CHAGRES,240.0
Colón,COLÓN,COLÓN,646.0
Balboa,PANAMÁ,BALBOA,200.0
Panamá,PANAMÁ,PANAMÁ,800.0
San Miguelito,PANAMÁ,SAN MIGUELITO,800.0
Chepo,PANAMÁ,CHEPO,433.0
Chimán,PANAMÁ,CHIMÁN,141.5
Capira,PANAMÁ OESTE,CAPIRA,300.0
Chame,PANAMÁ OESTE,CHAME,500.0
San Carlos,PANAMÁ OESTE,SAN CARLOS,400.0
Taboga,PANAMÁ,TABOGA,400.0
Arraiján,PANAMÁ OESTE,ARRAIJÁN,766.0
La Chorrera,PANAMÁ OESTE,LA CHORRERA,700.0
Comarca Kuna Yala,COMARCA KUNA YALA,COMARCA KUNA YALA,78.5
David,CHIRIQUÍ,DAVID,646.0
Mariato,VERAGUAS,MARIATO,260.0
Montijo,VERAGUAS,MONTIJO,400.0
